91	325
101	312
55	276
99	322
10	348
104	258
49	311
45	273
48	261
111	337
72	326
62	340
67	306
107	318
48	330
95	292
83	284
107	338
108	340
14	280
2	257
35	286
10	345
18	293
57	304
72	308
43	298
91	348
86	310
4	264
111	347
7	253
13	281
42	300
108	300
119	330
89	326
110	315
27	284
69	285
65	256
56	336
75	347
15	346
4	269
93	340
39	313
28	325
39	339
35	270
13	282
22	271
54	329
54	345
11	341
7	307
117	285
21	261
25	339
114	284
74	281
108	330
27	306
93	286
36	334
112	300
114	265
78	274
99	305
15	265
95	339
1	251
13	343
29	344
110	349
82	278
80	348
28	298
72	275
92	289
101	268
70	309
79	310
115	275
98	342
35	341
100	338
86	335
73	252
13	264
85	306
43	311
50	266
40	293
56	279
113	271
15	260
115	291
65	301
91	285
87	272
24	336
118	290
51	320
12	313
74	340
16	348
24	257
39	339
53	275
104	262
111	281
55	273
81	252
64	328
73	327
63	305
16	348
45	325
86	261
6	334
73	279
116	313
74	332
58	320
85	272
12	338
80	344
30	255
2	269
118	279
4	307
46	279
85	277
100	251
16	270
109	298
98	251
16	347
39	273
43	276
74	258
21	316
29	337
36	315
114	277
81	270
97	291
63	337
56	320
58	285
1	316
51	337
2	281
100	346
96	335
84	275
84	254
65	339
94	298
31	314
49	277
10	290
61	330
32	328
83	285
70	312
71	341
43	348
50	280
117	313
111	319
85	307
63	262
5	252
90	259
51	290
94	272
116	277
39	289
39	338
59	329
76	265
49	306
33	324
35	285
101	347
111	323
64	316
99	318
20	299
47	303
84	306
87	329
12	319
8	317
50	340
16	333
85	325
106	260
89	310
108	338
116	254
66	318
107	272
5	265
58	337
60	345
105	314
13	262
39	276
62	330
3	273
74	285
8	259
21	337
76	292
70	277
37	284
58	345
6	259
114	267
46	278
47	340
11	257
43	343
99	329
112	329
60	342
61	301
116	271
36	272
98	302
24	268
81	296
3	347
3	286
80	329
4	264
15	315
79	291
110	337
81	258
106	336
43	347
2	267
96	286
60	347
1	253
88	341
41	338
1	316
116	333
101	257
75	253
3	327
117	326
5	264
71	335
31	257
100	338
40	302
49	349
100	264
107	297
24	275
118	265
115	271
108	310
9	332
97	339
44	342
100	301
95	282
120	256
70	273
85	286
21	252
82	265
8	332
59	310
97	286
101	273
66	256
77	253
81	320
50	296
48	347
110	281
42	298
36	284
71	348
45	291
80	308
50	347
88	296
96	298
36	255
14	261
31	269
118	334
72	296
57	348
68	278
63	273
56	303
48	326
118	275
18	309
45	344
47	298
68	274
83	335
78	275
72	320
32	310
17	304
74	299
45	256
120	278
70	280
34	334
58	332
57	332
99	302
80	284
88	321
3	330
118	316
110	321
77	341
82	259
54	254
98	313
44	344
30	282
111	263
38	257
8	319
18	277
59	315
32	297
60	343
28	269
103	347
49	252
30	254
110	277
32	312
34	270
31	335
32	319
89	347
90	277
34	322
112	255
72	283
12	310
61	276
4	256
57	348
4	332
65	290
44	330
26	250
6	278
51	323
75	349
44	335
112	277
46	265
53	340
33	254
45	250
56	294
46	258
102	292
2	274
44	268
45	343
68	329
39	274
119	264
7	318
33	254
17	274
65	264
120	300
105	342
108	312
35	342
112	319
117	257
87	320
28	307
43	270
117	263
109	308
37	297
16	338
39	334
73	305
107	348
117	280
99	307
80	349
86	262
111	251
23	318
99	333
56	259
28	304
47	307
113	343
84	284
32	301
32	294
97	341
95	311
34	321
78	255
80	290
14	254
32	253
101	348
82	323
71	276
15	292
29	275
98	282
45	280
114	301
58	271
110	316
45	285
26	296
35	266
2	281
75	250
110	258
13	257
2	290
3	296
30	296
107	277
49	329
87	324
32	301
119	261
77	293
36	338
56	271
86	348
27	348
58	326
57	301
19	348
92	305
115	251
14	262
41	286
64	260
87	260
67	308
85	295
24	347
100	303
55	297
81	310
97	295
72	329
9	316
63	300
28	299
64	309
112	325
13	327
75	333
83	278
60	285
113	331
72	273
12	321
103	324
93	272
15	317
51	334
54	250
88	281
61	292
28	329
34	330
58	292
86	313
29	281
30	279
16	276
16	326
71	320
48	334
99	285
52	339
6	322
40	316
19	276
7	337
65	256
7	290
111	281
75	330
61	282
120	281
106	335
22	278
1	313
110	310
45	287
27	288
63	291
4	255
19	251
80	296
102	328
74	256
94	265
49	255
74	318
79	309
21	279
27	301
30	321
76	322
63	280
98	279
57	279
40	334
57	331
65	333
77	313
24	319
21	277
12	303
48	295
107	310
107	342
7	285
84	324
91	340
2	333
20	337
113	327
67	268
99	316
89	342
101	271
77	337
32	328
74	266
45	257
36	299
66	343
45	265
92	335
26	274
59	306
115	334
56	254
119	258
95	305
93	292
64	341
30	288
75	345
118	264
115	276
116	310
40	333
60	287
81	298
90	335
16	310
112	257
53	266
49	268
115	266
63	300
100	255
1	339
114	336
96	324
111	274
14	281
38	263
49	288
57	315
21	325
49	276
55	300
87	284
2	314
31	311
46	329
7	271
117	256
120	282
110	286
18	262
21	264
116	284
118	311
41	293
116	252
20	261
45	280
54	303
61	287
76	307
74	311
16	338
117	321
97	251
51	331
67	311
116	250
109	264
68	340
13	318
4	264
115	278
7	280
17	268
54	296
107	311
6	294
27	281
62	291
9	337
99	333
44	344
23	333
110	338
82	256
5	256
93	316
68	345
91	312
7	285
105	338
101	329
113	314
83	312
116	266
106	325
60	341
63	254
23	288
21	278
11	326
102	277
45	257
103	261
20	312
93	346
21	294
78	298
12	297
26	271
115	296
76	282
51	283
54	348
110	279
89	288
2	312
4	303
42	344
99	315
32	256
7	287
19	347
60	295
38	276
24	282
10	306
29	272
11	291
1	314
19	294
44	328
86	308
41	285
41	280
107	306
47	299
111	272
56	324
50	271
117	343
54	346
98	342
66	294
91	261
86	314
4	296
53	254
22	296
71	299
22	278
61	300
67	343
120	292
17	273
56	311
115	320
9	346
79	254
5	251
103	326
26	302
88	313
29	299
26	336
86	272
21	346
113	306
7	330
14	300
62	252
7	315
95	256
74	289
73	290
94	334
89	264
119	269
60	337
59	260
79	273
120	332
78	306
39	279
33	257
